d,phi,u
-0.26994510999916566,0.6817534900981403,0.7093163504990452
-0.26994510999916566,0.6817534900981403,0.7093163504990452
-0.26994510999916566,0.6817534900981403,0.7093163504990452
-0.26994510999916566,0.6817534900981403,0.7093163504990452
-0.26994510999916566,0.6817534900981403,0.7093163504990452
-0.26945624434956494,0.680349066855829,0.7071828907834954
-0.26856221891553167,0.677727476803515,0.703015194862258
-0.26733436355814,0.6740510088491984,0.696911408664592
-0.2658331975486896,0.6694603133798128,0.6889695914121678
-0.26410988330909957,0.6640815115780293,0.6793087247991507
-0.2622075372242474,0.6580279361901782,0.6680643087084173
-0.26016239305560607,0.6514016423253547,0.6553842810707127
-0.25800484405943935,0.6442789924471547,0.6413465216413798
-0.2557603063316809,0.6367610200973709,0.6262020371700454
-0.2534499557207628,0.6289226985160459,0.6101139353726017
-0.25109140602253577,0.6208318469752632,0.5932451746509582
-0.2486992664436456,0.6125499304421662,0.5757569877743753
-0.24628561527287784,0.6041324098344353,0.5578058964433978
-0.24386040152077637,0.5956292196122623,0.539542082853548
-0.24143178451980019,0.5870851819870234,0.5211080647371151
-0.23900648436538496,0.5785057432791275,0.5024638727417878
-0.23659002048292033,0.5699302496726335,0.48375104353396425
-0.2341868457006968,0.561393717729449,0.46510013164027697
-0.23180051696595472,0.5529271143164355,0.44663040192263015
-0.2294338393812403,0.5445576143842847,0.428449678109021
-0.22708898709700254,0.5363091856943553,0.4106560575017508
-0.2247676047552134,0.5282027362059349,0.39333763347754047
-0.2224708933001769,0.5202562635561423,0.3765723847789424
-0.22019968267213397,0.5124850069623476,0.360428208090398
-0.21795449348935314,0.5049016015240062,0.3449630727264994
-0.21573558948441285,0.497516231208922,0.3302252612004817
-0.2135430221727841,0.49033678124878644,0.3162536845160915
-0.21137660353487142,0.4834009551853225,0.30323874057789846
-0.20923594903410025,0.4767068902959919,0.2911749611389567
-0.20712058092447583,0.4702515321437791,0.28005185147413725
-0.20502995020706827,0.4640307164299405,0.2698540800790199
-0.2029634559899809,0.458038939993924,0.26056014006981076
-0.2009204625476726,0.452269550155227,0.2521431252994093
-0.1989003136598999,0.44671491876193903,0.24457145721069606
-0.19690234462405476,0.4413666026094725,0.2378095668068152
-0.19492589226400403,0.43621549469718274,0.23181855084587344
-0.1929703032018728,0.43125196600780186,0.2265567980202814
-0.1910349406206322,0.4264659976341703,0.22198058196452974
-0.18911918971324138,0.42184730319000757,0.21804461881762416
-0.1872224619874241,0.41738544150094553,0.21470258763048689
-0.18534419857298312,0.4130699196319738,0.21190761243003786
-0.1834838726600485,0.4088902863656344,0.20961270522768682
-0.1816409911811383,0.4048362163002506,0.20777116968986986
-0.17981509583676658,0.40089758478845816,0.206336965574625
-0.17800576355319908,0.3970645339828607,0.20526503438231258
