d,phi,u
-0.008851273670973492,0.43266405697723864,2.0748075481764587
-0.008851273670973492,0.43266405697723864,2.0748075481764587
-0.008851273670973492,0.43266405697723864,2.0748075481764587
-0.008851273670973492,0.43266405697723864,2.0748075481764587
-0.008851273670973492,0.43266405697723864,2.0748075481764587
-0.008527160829217673,0.4285560056938704,2.0575084201771756
-0.007940581953714387,0.4208876432982497,2.0250323969541046
-0.0071483226461726,0.4101336779386769,1.9791851632316586
-0.006201440918216727,0.39670552334367887,1.9215132075362271
-0.005145021582370735,0.3809939897872716,1.8535197331126507
-0.0040182579308636335,0.36336782926454203,1.377857550414658
-0.0028547399903215975,0.34417310139863555,1.2935190904905456
-0.0016830499877809046,0.3236189485019753,1.2024652260326514
-0.0005270311426400776,0.30213544069886095,1.1066078754684878
0.0005954430922604503,0.28078828758663366,1.0110968522563568
0.0016718135006743573,0.2597262959401106,0.9165505981078804
0.0026927482295830973,0.23909172791278002,0.8235871052603151
0.003651666487798133,0.21901738811683996,0.7328045888627651
0.004544306333347126,0.19961768816600117,0.6447324875640611
0.005368332917074614,0.1809898745808603,0.5598336854756315
0.006122599998561573,0.16303102917932488,0.47758212928282406
0.006806901872117743,0.1458360208877653,2.492119875073267
0.007422178999633378,0.1294827511801227,2.4165062978102103
0.007970301735938046,0.11403336813364072,2.3447406099408474
0.008453882420769165,0.09953545038631055,2.2770868280525076
0.008876116908552945,0.0860249912971848,2.213756877484717
0.009231197999321816,0.06938161067171779,2.1340907852650703
0.009505313457365494,0.050172743798553736,2.0407876054796867
0.009687095538869261,0.02888254923233051,1.9361544534636086
0.009767313793968446,0.005922489613992113,1.8221563379229084
0.00973859755668438,-0.01835939514599226,1.7004597517501459
0.009595281039036951,-0.04362912543081759,1.5726779351495448
0.009333823017683818,-0.06936308102181751,-1.5128176148733545
0.008952702731549023,-0.09527365266035039,-1.6461816759273669
0.008451811823981803,-0.12109633626812978,-1.7803040030419361
0.007832330016574351,-0.14658984641950948,-1.9139663718729092
0.007109998684819319,-0.16568889234142967,-2.0166849148000603
0.0063130531939894485,-0.17898201277276246,-2.091119971865023
0.005467069644335298,-0.1869777732784607,-2.139558609890056
0.004595347132914762,-0.1901178413838837,-2.163976175531376
0.0037191090719463915,-0.18884626337718305,-2.1663806661075564
0.0028575545856901474,-0.18360387975440637,-2.1487842928562357
0.002027920060673316,-0.1748242243407164,-2.1131823610379543
0.0012455412342712302,-0.1629305873912196,-1.7200634089799565
0.0005239122968679899,-0.14833340563109573,-1.6542937895533696
-0.00012525736986546132,-0.13142799194695978,-1.5762584178000243
-0.0006919869322510319,-0.11259260125932369,-1.4877487599856996
-0.001169532420744357,-0.09286292654030562,-1.3938758412755425
-0.0015541259450085887,-0.07248842736239221,-1.2958492806286177
-0.0018431593411700753,-0.051709587811345416,-1.1948454168349987
-0.002035149782069756,-0.030755566172979237,-1.0919952130521646
-0.0021296755635802356,-0.009835585376677333,-0.9883405668857598
-0.002127287867278227,0.01086080396320644,-0.8848347432233209
-0.002029419526308418,0.031163429684384857,-0.7823429312077307
-0.0018382916706717323,0.05092115355328303,-0.6065830109785721
-0.0015568195281936426,0.07000139633109431,-0.5083670756647347
-0.0011885188689022552,0.08828955067456638,-0.4132432973544605
-0.0007374144828502516,0.10568829792953721,-0.3217385172190863
-0.00020829573797731538,0.12196822679749929,-0.23504768543054666
0.00039341556313587933,0.13708404871440796,-0.15345146283487132
0.0010621288366797765,0.15100263596145308,-0.07717139386420668
0.001792145829843661,0.1637024433473642,-0.006372187003012342
0.0025781143044640853,0.17534597485362668,0.05970515527450437
0.003415006885097216,0.18590242224434614,0.12085631803443297
0.004297710221102702,0.19535517220847595,0.1769471012151369
0.005221087709139982,0.20370035235391876,2.2405265905959
0.006180034309150706,0.21094545853576357,2.2863415875052313
0.0071695201453494395,0.2171063362996436,2.3270408346866187
0.008184624710644739,0.2222064721265716,2.362692559474212
0.009220567115139966,0.22627624035329863,2.393400824652799
0.010263688278854044,0.22536720323340445,2.399286850690469
0.011292674986190576,0.22005248927997542,2.383003147996689
0.012288627563451726,0.21083893888864838,2.3468949218126656
0.013234738759427822,0.1981758076653781,2.2930403776560753
0.014116032394976497,0.18246223835746997,2.2232854674720213
0.014919242825983448,0.16409330190327165,2.139472889511099
0.015632804204926076,0.14345528845592484,1.439842407872984
0.016246832231653574,0.12092223472482577,1.3333174194847635
0.01675309834165417,0.09685344298897677,1.2180361219055245
0.017144995602446866,0.0715917907630471,1.0956468333838032
0.017417494572277592,0.045462272283512545,0.9677242306844376
0.017569869664294635,0.019965848588693335,0.841765863130512
0.017605262927562926,-0.0047709769562926715,0.7184356680382649
0.01752748550729144,-0.028621230894979446,0.5984066241421162
0.017340998546245268,-0.051460795974897854,0.48234392913206237
0.017050877879605686,-0.07317114812890532,0.3708909616956292
0.01666273845591526,-0.0936534556203593,0.26459803000145504
0.016182629189082753,-0.11282726797326528,-1.0258955337472735
0.015616934799035587,-0.13062939761347794,-1.1205631258488085
0.014972284695477844,-0.1470129352181823,-1.2089273149079076
0.01425546891489271,-0.16194635315120748,-1.290762562378885
0.013473361314188637,-0.17541254416369884,-1.3659145934483825
0.01263824658630186,-0.18505200334008431,-1.4224630366091775
0.011767005722045587,-0.19118752284671087,-1.461853042784873
0.010875042536858337,-0.1941113364268725,-1.4853917425375538
0.009976444908467164,-0.19408964041618812,-1.4942692387680436
0.009084122370074499,-0.19136637085605157,-1.4895761163512875
0.00820986847617089,-0.18618977347971352,-1.4724356684086333
0.007364363779244543,-0.17880896773499488,1.6063877602507357
0.0065571861542534915,-0.1694712422131292,1.6450046116101535
0.0057968259486436136,-0.15841994239803944,1.6926575086295035
0.005090704518592504,-0.14589283709149203,1.7482318208617296
0.00444519599730675,-0.13212063788696907,1.8106377316714868
0.0038516929312496506,-0.12336532728873623,1.84847925400208
0.003288435148074975,-0.11903444692230215,1.8645010780025038
0.002736122319167089,-0.11863242393883987,1.8609880646307362
0.002177539826702546,-0.12174544601316038,1.8398371293344882
0.0015972354560152002,-0.12802840213916145,1.8026193049976094
0.0009813842899949465,-0.13713355942344227,1.7509350069160028
0.0003178014707191368,-0.1487163470672617,0.8537719127899043
-0.00040407056141378295,-0.16243945870410162,0.7779376342843755
-0.0011931933128661587,-0.17797563963943158,0.6923655020932018
-0.0020569769884404288,-0.19500945722165108,0.5985585774263616
-0.00300133659187507,-0.213238893339795,0.49796780080129555
-0.004027016134330319,-0.23072817852029323,0.4002645794742521
-0.00513022248368511,-0.24742585015644034,0.30574415779996866
-0.006306921628251305,-0.2632680266896903,0.21476628368805684
-0.007552801595497316,-0.278183039482081,0.12773242005364316
-0.008863254689946864,-0.29209534390839853,0.04506636697756017
-0.010233411758327482,-0.3049451852254463,-0.03288441029148492
-0.011658214959309299,-0.3166870778286396,-2.085198197773516
-0.01313248185869842,-0.3272886149893172,-2.152948552570795
-0.014650962293740966,-0.3367295198880996,-2.2153378814151328
-0.016208389172232884,-0.3450008674039905,-2.2722688877795063
-0.017799523799360784,-0.352104258524453,-2.323697189653098
-0.01941063546046906,-0.3541319063981356,-2.3499465456325934
-0.02102070257248545,-0.3516264332981986,-2.3535198512530724
-0.02261094012193332,-0.34506872651793913,-2.3366336928462537
-0.02416446670630723,-0.3348863623453885,-2.3012571378272395
-0.025666037633967576,-0.3214608020722829,-2.2491450457383153
-0.027101919782765993,-0.30517249897654697,-2.1820623517476196
-0.02845987872600364,-0.2863960770725996,-0.8626766704862083
-0.029729166842828003,-0.2654967195778365,-0.7708727641806363
-0.030900511612787285,-0.24282752899629698,-0.6692402589725315
-0.03196610228783592,-0.21872766331578192,-0.5593968373204425
-0.03291957191443362,-0.19352070076260736,-0.44289672082054676
-0.03376159660183131,-0.1699665948752383,-0.33354643825767827
-0.03449919003584101,-0.1480267335055484,-0.23122306574932572
-0.0351393871856861,-0.12768711309713052,-0.13592693520568733
-0.035689314423720364,-0.10895185458122573,-0.04774991500650605
-0.03615623730034501,-0.09183770947028898,0.03315158178193134
-0.0365475322581873,-0.07634503930375251,0.10670198303619072
-0.03687059949604776,-0.0624602443630388,-0.8757032511736331
-0.03713278830487898,-0.050157624515455884,-0.8168120400240308
-0.03734133262465755,-0.03940081070635474,-0.7651134141763107
-0.03750329495050997,-0.03014387778928417,-0.7204483728494822
-0.03762551762110089,-0.022332469041217235,-0.6826135558150568
-0.037709745684165186,-0.013828717579991639,-0.6409370791395717
-0.037753234903884825,-0.004841538444918867,-0.5964360756614042
-0.03775411840569498,0.004462249747590219,-0.5499259697169603
-0.03771122551582995,0.013951997131285757,-0.5020483038998323
-0.037623926057021806,0.023527997443477847,-0.45329530775079047
-0.037492045206253044,0.03309623222899717,-0.4041353253155062
-0.037315833870299464,0.04256962635574623,1.9969429736799542
-0.03709593418993795,0.05186873675187167,2.0456375224641965
-0.03683334257805393,0.060922005031156114,2.093529779979459
-0.036529372158431106,0.06966568080003538,2.1402878630200837
-0.03618561554725763,0.07804370789783856,2.185615564620834
-0.035814719355063196,0.08135078275081034,2.2058599008076376
-0.035438893870024746,0.08016661870632334,2.203697335435587
-0.0350778268601718,0.0749952225093186,2.1814510245490926
-0.0347490288751543,0.06627564563388275,2.1411411200220885
-0.03446812281023015,0.054391231466162204,2.084528109832727
-0.03424897645051783,0.03972387518633765,2.0133827920307277
-0.03410371224109465,0.02264891755160174,1.3742448401111185
-0.03404273113171197,0.003531419046011103,1.2792671586769924
-0.034074747656387516,-0.017276469251217112,1.1749075519440957
-0.03420683472517927,-0.03943727012060952,1.0627826769092161
-0.03444447836594866,-0.06262972981008355,0.944443942054152
-0.034789090717814664,-0.08545082150857031,0.8268923600430582
-0.03523844648917873,-0.1077620082362996,0.7108428686907711
-0.035789637825159426,-0.12942464870467052,0.5970177529891094
-0.03643909434978998,-0.15030321215222447,0.48613037050503416
-0.03718261857852034,-0.17026793534589574,0.3788715122493742
-0.0380154583397061,-0.18920791535398754,0.27584321459705774
-0.038932406086823135,-0.207030010392883,-1.5706489772891572
-0.0399278917190774,-0.22365790177469538,-1.6637432905207619
-0.04099606890973506,-0.2390312632525584,-1.7512918698166535
-0.0421308949452055,-0.2531049964388281,-1.8330087961027064
-0.043326203882422365,-0.265848392436245,-1.9086788654619593
-0.044568006942840355,-0.27378283521309826,-1.9607691099504057
-0.04583564818771191,-0.2773651948278507,-1.9913573204728836
-0.047110505074206444,-0.27700240570351053,-2.002291943716128
-0.04837570964563043,-0.27305869082279943,-1.9952254150268123
-0.0496159172720777,-0.2658616826835961,-1.9716424505952683
-0.050817195019210004,-0.2557420167350056,-1.9330568983236387
-0.05196700528358278,-0.2430288170256309,-0.00477934539002578
-0.053054186845554074,-0.22804623785948014,0.059261734821015155
-0.05406893506403532,-0.21111085466047946,0.1337911686312061
-0.05500278145136195,-0.1925297348001812,0.2173583040594309
-0.05584857120260056,-0.17259870796860008,0.3085555407049505
-0.05660897917636909,-0.1553156884332182,0.3873665586441746
-0.05729542334418958,-0.14045440780490126,0.45480852010755446
-0.057918503276033984,-0.12783953341115525,0.5116520927578403
-0.05848817901452896,-0.11733700462362569,0.5584679793105385
-0.05901391915974874,-0.10884574291598763,0.5956668863965309
-0.059504734988383046,-0.10225362258965047,0.6237193297418737
